RTH #,RSH #,RTK #,TH,SH,K,H POS,RTH Keyword,RSH Keyword,RTK Keyword,RTH Read,TH Read,RTH Lesson,RSH Lesson,RTK Lesson,K and H check,SH and TH check,K and TH keywords,SH and TH keywords,K and H Visual Check
0676,0725,0830,漫,漫,漫,v.,overflow,overflow,loose,màn,màn,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0677,0996,0836,環,环,環,n.,ring,ring,ring,huán,huán,RTH1-L24,RSH1-L31,RTK1v5-L25,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0678,0998,0837,還,还,還,,give back,give back,send back,huán,hái|huán,RTH1-L24,RSH1-L31,RTK1v5-L25,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0679,0726,0838,夫,夫,夫,,husband,husband,husband,fū,fū|fú,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0680,0727,0841,規,规,規,,regulations,regulations,standard,guī,guī,RTH1-L24,RSH1-L24,RTK1v5-L25,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0681,0728,0842,替,替,替,,replace,replace,exchange,tì,tì,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0682,0729,0845,失,失,失,,lose,lose,lose,shī,shī,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0683,0731,0848,臣,臣,臣,,feudal official,feudal official,retainer,chén,chén,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0684,1012,0854,臨,临,臨,,be about to,be about to,look to,lín,lín,RTH1-L24,RSH1-L32,RTK1v5-L25,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0685,1014,0852,賢,贤,賢,,worthy,worthy,intelligent,xián,xián,RTH1-L24,RSH1-L32,RTK1v5-L25,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0686,1013,0853,堅,坚,堅,adj.,firm,firm,strict,jiān,jiān,RTH1-L24,RSH1-L32,RTK1v5-L25,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0687,0732,0858,力,力,力,,power,power,power,lì,lì,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0688,0738,,另,另,另,,another,another,,lìng,lìng,RTH1-L24,RSH1-L24,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0689,0739,0090,別,别,別,,don't,don't,separate,bié,bié|biè,RTH1-L24,RSH1-L24,RTK1v5-L05,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0690,0740,0656,拐,拐,拐,v.,turn,turn,kidnap,guǎi,guǎi,RTH1-L24,RSH1-L24,RTK1v5-L23,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0691,0741,0859,男,男,男,n.,male,male,male,nán,nán,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0692,0742,0863,功,功,功,,achievement,achievement,achievement,gōng,gōng,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0693,0747,0702,奴,奴,奴,n.,slave,slave,guy,nú,nú,RTH1-L24,RSH1-L24,RTK1v5-L23,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0694,0748,0865,努,努,努,v.,toil,toil,toil,nǔ,nǔ,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0695,0749,0867,加,加,加,,add,add,add,jiā,jiā,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0696,0750,0868,賀,贺,賀,,congratulate,congratulate,congratulations,hè,hè,RTH1-L24,RSH1-L24,RTK1v5-L25,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0697,0751,0869,架,架,架,n.,shelf,shelf,erect,jià,jià,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0698,0744,0872,協,协,協,,cooperate,cooperate,co-,xié,xié,RTH1-L24,RSH1-L24,RTK1v5-L25,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0699,0754,0873,行,行,行,,line of business,line of business,going,háng,xíng|háng|hàng|heng,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0700,0755,0874,律,律,律,,law,law,rhythm,lǜ,lǜ,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0701,ch # 0472,0875,復,复,復,,recover,,restore,fù,fù,RTH1-L24,,RTK1v5-L25,K = TH,SH <> TH,K key <> TH key,RSH key missing,
0702,0756,0876,得,得,得,aux. v.,must,must,gain,děi,de|děi|dé,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0703,0757,0879,待,待,待,v.,treat,treat,wait,dài,dài|dāi,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0704,0758,0880,往,往,往,,toward,toward,journey,wǎng,wǎng,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0705,0760,0889,微,微,微,,tiny,tiny,delicate,wēi,wēi,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0706,0761,0890,街,街,街,,street,street,boulevard,jiē,jiē,RTH1-L24,RSH1-L24,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0707,0759,0885,德,德,徳,,morality,morality,benevolence,dé,dé,RTH1-L24,RSH1-L24,RTK1v5-L25,K <> H,SH = TH,K key <> TH key,SH key = TH key,Japanese variant
0708,0925,0827,聽,听,聴,,listen,listen,listen,tīng,tīng,RTH1-L24,RSH1-L30,RTK1v5-L25,K <> H,SH <> TH,K key = TH key,SH key = TH key,Japanese variant
0709,0122,0591,廳,厅,庁,,hall,hall,government office,tīng,tīng,RTH1-L24,RSH1-L07,RTK1v5-L22,K <> H,SH <> TH,K key <> TH key,SH key = TH key,Japanese variant
0710,0762,,禾,禾,禾,,standing grain,standing grain,,hé,hé,RTH1-L25,RSH1-L25,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0711,0763,0894,程,程,程,n.,journey,journey,extent,chéng,chéng,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0712,0764,0897,和,和,和,,harmony,harmony,harmony,hé,hé,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0713,0767,0898,移,移,移,v.,shift,shift,shift,yí,yí,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0714,0768,0900,秋,秋,秋,,autumn,autumn,autumn,qiū,qiū,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0715,0769,0901,愁,愁,愁,,gloomy,gloomy,distress,chóu,chóu,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0716,0771,0906,利,利,利,n.,profit,profit,profit,lì,lì,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0717,0772,0911,香,香,香,n.,perfume,perfume,incense,xiāng,xiāng,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0718,0773,0912,季,季,季,n.,seasons,seasons,seasons,jì,jì,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0719,0774,0913,委,委,委,,committee,committee,committee,wěi,wěi|wēi,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0720,0775,0914,秀,秀,秀,,elegant,elegant,excel,xiù,xiù,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0721,0776,0915,透,透,透,,penetrate,penetrate,transparent,tòu,tòu,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0722,0777,0916,誘,诱,誘,,entice,entice,entice,yòu,yòu,RTH1-L25,RSH1-L25,RTK1v5-L26,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0723,0737,0376,歷,历,歴,n./v.,experience,experience,curriculum,lì,lì,RTH1-L25,,RTK1v5-L17,K <> H,SH <> TH,K key <> TH key,SH key = TH key,Old variant
0724,0778,0919,米,米,米,,rice,rice,rice,mǐ,mǐ,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0725,0780,0924,迷,迷,迷,,lost,lost,astray,mí,mí,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0726,0781,2709,謎,谜,謎,,riddle,riddle,riddle,mí,mí|mèi,RTH1-L25,RSH1-L25,RTK3v2-CH02,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0727,0782,0931,類,类,類,n.,kind,kind,sort,lèi,lèi,RTH1-L25,RSH1-L25,RTK1v5-L26,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0728,0786,0937,竹,竹,竹,,bamboo,bamboo,bamboo,zhú,zhú,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0729,0787,0938,笑,笑,笑,v.,laugh,laugh,laugh,xiào,xiào,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0730,0788,0942,箱,箱,箱,n.,box,box,box,xiāng,xiāng,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0731,1423,0943,筆,笔,筆,,pen,pen,writing brush,bǐ,bǐ,RTH1-L25,RSH1-L51,RTK1v5-L26,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0732,0789,0945,等,等,等,,etc.,etc.,etc.,děng,děng,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0733,0790,0946,算,算,算,,calculate,calculate,calculate,suàn,suàn,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0734,0791,0947,答,答,答,v.,answer,answer,solution,dá,dá|dā,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0735,0792,0948,策,策,策,,strategy,strategy,scheme,cè,cè,RTH1-L25,RSH1-L25,RTK1v5-L26,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0736,0793,0951,人,人,人,,person,person,person,rén,rén,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0737,2089,1018,囚,囚,囚,,prisoner,prisoner,captured,qiú,qiú,RTH1-L26,RSH2-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0738,0796,,份,份,份,,portion,portion,,fèn,fèn,RTH1-L26,RSH1-L26,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0739,ch # 0044,ch # 0048,佔,占,占,,occupy,,fortune-telling,zhàn,zhàn,RTH1-L26,,,K = SH,SH <> TH,K key <> TH key,RSH key missing,
0740,ch # 0525,ch # 0541,傢,家,傢,,furniture,,,jiā,jiā,RTH1-L26,,,K = TH,SH <> TH,RTK key missing,RSH key missing,
0741,0799,,你,你,你,,you,you,,nǐ,nǐ,RTH1-L26,RSH1-L26,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0742,0800,,您,您,您,,you (respectful),you (respectful),,nín,nín,RTH1-L26,RSH1-L26,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0743,0802,2968,什,什,什,,what?,what?,X,shén,shén|shí,RTH1-L26,RSH1-L26,RTK3v2-CH06,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0744,0307,0298,條,条,条,n.,strip,strip,twig,tiáo,tiáo,RTH1-L26,RSH1-L13,RTK1v5-L13,K = SH,SH <> TH,K key <> TH key,SH key = TH key,
0745,0803,0978,值,值,値,n.,value,value,price,zhí,zhí,RTH1-L26,RSH1-L26,RTK1v5-L27,K <> H,SH = TH,K key <> TH key,SH key = TH key,Japanese variant
0746,0804,2132,做,做,做,,make,make,make do,zuò,zuò,RTH1-L26,RSH1-L26,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0747,0805,0953,但,但,但,,however,however,however,dàn,dàn,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0748,0806,0954,住,住,住,,dwell,dwell,dwell,zhù,zhù,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0749,0807,0955,位,位,位,n.,position,position,rank,wèi,wèi,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0750,0808,0959,件,件,件,,piece,piece,affair,jiàn,jiàn,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0751,0809,,仍,仍,仍,adv.,still,still,,réng,réng,RTH1-L26,RSH1-L26,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0752,0810,0961,他,他,他,,he,he,other,tā,tā,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0753,0812,0965,休,休,休,v.,rest,rest,rest,xiū,xiū,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0754,0814,0969,信,信,信,,faith,faith,faith,xìn,xìn,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0755,0815,0971,依,依,依,,depend on,depend on,reliant,yī,yī,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0756,0816,0972,例,例,例,,example,example,example,lì,lì,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0757,0258,0973,個,个,個,,individual,individual,individual,gè,ge|gè|gě,RTH1-L26,RSH1-L12,RTK1v5-L27,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0758,0817,0974,健,健,健,,healthy,healthy,healthy,jiàn,jiàn,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0759,0818,0977,停,停,停,v.,halt,halt,halt,tíng,tíng,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0760,0819,0980,倒,倒,倒,,upside down,upside down,overthrow,dǎo,dào|dǎo|dáo,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0761,0820,0988,仁,仁,仁,,benevolence,benevolence,humanity,rén,rén,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0762,0821,0993,優,优,優,,excellent,excellent,tenderness,yōu,yōu,RTH1-L26,RSH1-L26,RTK1v5-L27,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0763,0822,0996,傷,伤,傷,n.,wound,wound,wound,shāng,shāng,RTH1-L26,RSH1-L26,RTK1v5-L27,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0764,0823,0997,保,保,保,v.,safeguard,safeguard,protect,bǎo,bǎo,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0765,0824,,堡,堡,堡,,fort,fort,,bǎo,bǎo|pù|bǔ,RTH1-L26,RSH1-L26,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0766,0825,1000,付,付,付,v.,pay,pay,adhere,fù,fù,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0767,0826,1002,府,府,府,,government office,government office,municipality,fǔ,fǔ,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0768,0827,,俯,俯,俯,,bow one's head,bow one's head,,fǔ,fǔ,RTH1-L26,RSH1-L26,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0769,0828,1005,代,代,代,,substitute for,substitute for,substitute,dài,dài,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0770,0829,1006,袋,袋,袋,n.,bag,bag,sack,dài,dài,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0771,0830,1008,化,化,化,,transform,transform,change,huà,huà|huā,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0772,0833,1009,花,花,花,n.,flower,flower,flower,huā,huā,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0773,0834,1010,貨,货,貨,,commodities,commodities,freight,huò,huò,RTH1-L26,RSH1-L26,RTK1v5-L27,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0774,0835,1012,何,何,何,,whatwhichwhowherewhy?,whatwhichwhowherewhy?,what,hé,hé,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0775,0836,0991,便,便,便,,convenient,convenient,convenience,biàn,biàn|pián,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0776,0837,0691,丈,丈,丈,,100 Chinese Inches,100 Chinese inches,length,zhàng,zhàng,RTH1-L26,RSH1-L26,RTK1v5-L23,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0777,0838,0990,使,使,使,v.,use,use,use,shǐ,shǐ,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0778,0839,1016,久,久,久,,long time,long time,long time,jiǔ,jiǔ,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0779,0324,1017,畝,亩,畝,,Chinese acre,Chinese acre,furrow,mǔ,mǔ,RTH1-L26,RSH1-L14,RTK1v5-L27,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0780,0842,1020,丙,丙,丙,,third,third,third class,bǐng,bǐng,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0781,0843,1021,柄,柄,柄,n.,handle,handle,design,bǐng,bǐng,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0782,0844,1022,肉,肉,肉,,meat,meat,meat,ròu,ròu,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0783,0845,1023,腐,腐,腐,,rotten,rotten,rot,fǔ,fǔ,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0784,0847,1857,眾,众,衆,,multitude,multitude,masses,zhòng,zhòng,RTH1-L26,RSH1-L26,RTK1v5-L50,K <> H,SH <> TH,K key <> TH key,SH key = TH key,Variant
0785,0848,2844,坐,坐,坐,,sit,sit,sitting in meditation,zuò,zuò,RTH1-L26,RSH1-L26,RTK3v2-CH03,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0786,0849,1024,座,座,座,n.,seat,seat,sit,zuò,zuò,RTH1-L26,RSH1-L26,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0787,1435,1673,檢,检,検,,examine,examine,examination,jiǎn,jiǎn,RTH1-L26,RSH1-L52,RTK1v5-L43,K <> H,SH <> TH,K key <> TH key,SH key = TH key,Japanese variant
0788,1436,,臉,脸,臉,n.,face,face,,liǎn,liǎn,RTH1-L26,RSH1-L52,,K = TH,SH <> TH,RTK key missing,SH key = TH key,
0789,0783,1884,來,来,来,,come,come,come,lái,lái,RTH1-L26,RSH1-L25,RTK1v5-L51,K = SH,SH <> TH,K key = TH key,SH key = TH key,
0790,1208,1533,麥,麦,麦,,wheat,wheat,barley,mài,mài,RTH1-L26,RSH1-L39,RTK1v5-L40,K = SH,SH <> TH,K key <> TH key,SH key = TH key,
0791,0851,0454,喝,喝,喝,v.,drink,drink,hoarse,hē,hē|hè,RTH1-L26,RSH1-L26,RTK1v5-L18,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0792,0852,0451,渴,渴,渇,,thirsty,thirsty,thirst,kě,kě,RTH1-L26,RSH1-L26,RTK1v5-L18,K <> H,SH = TH,K key <> TH key,SH key = TH key,Japanese variant
0793,0853,1003,任,任,任,,appoint,appoint,responsibility,rèn,rèn|Rén,RTH1-L27,RSH1-L27,RTK1v5-L27,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0794,0854,0508,廷,廷,廷,,royal court,royal court,courts,tíng,tíng,RTH1-L27,RSH1-L27,RTK1v5-L19,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0795,0855,0590,庭,庭,庭,,court of law,court of law,courtyard,tíng,tíng,RTH1-L27,RSH1-L27,RTK1v5-L22,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0796,0861,1028,以,以,以,,by means of,by means of,by means of,yǐ,yǐ,RTH1-L27,RSH1-L27,RTK1v5-L28,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0797,0862,1029,似,似,似,,similar,similar,similar,sì,sì|shì,RTH1-L27,RSH1-L27,RTK1v5-L28,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0798,0863,1030,併,并,併,v.,combine,combine,join,bìng,bìng,RTH1-L27,RSH1-L27,RTK1v5-L28,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0799,0864,,拼,拼,拼,,piece together,piece together,,pīn,pīn,RTH1-L27,RSH1-L27,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0800,0865,0024,呂,吕,呂,,spine,spine,spine,lǚ,Lǚ,RTH1-L27,RSH1-L27,RTK1v5-L02,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0801,0866,2121,侶,侣,侶,n.,associate,associate,partner,lǚ,lǚ,RTH1-L27,RSH1-L27,RTK3v2-CH02,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0802,0867,0326,榮,荣,栄,n.,glory,glory,flourish,róng,róng,RTH1-L27,RSH1-L27,RTK1v5-L15,K <> H,SH <> TH,K key <> TH key,SH key = TH key,Variant
0803,0868,0860,勞,劳,労,n.,labor,labor,labor,láo,láo|lào,RTH1-L27,RSH1-L27,RTK1v5-L25,K <> H,SH <> TH,K key = TH key,SH key = TH key,Japanese variant
0804,0869,1034,營,营,営,n.,camp,camp,occupation,yíng,yíng,RTH1-L27,RSH1-L27,RTK1v5-L28,K <> H,SH <> TH,K key <> TH key,SH key = TH key,Japanese variant
0805,0870,1035,善,善,善,,virtuous,virtuous,virtuous,shàn,shàn,RTH1-L27,RSH1-L27,RTK1v5-L28,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0806,0871,1036,年,年,年,,year,year,year,nián,nián,RTH1-L27,RSH1-L27,RTK1v5-L28,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0807,0872,1037,夜,夜,夜,,night,night,night,yè,yè,RTH1-L27,RSH1-L27,RTK1v5-L28,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0808,0873,1038,液,液,液,,liquid,liquid,fluid,yè,yè,RTH1-L27,RSH1-L27,RTK1v5-L28,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0809,1326,1042,喚,唤,喚,v.,call out,call out,yell,huàn,huàn,RTH1-L27,RSH1-L44,RTK1v5-L28,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0810,1327,1043,換,换,換,v.,exchange,exchange,interchange,huàn,huàn,RTH1-L27,RSH1-L44,RTK1v5-L28,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0811,0874,1048,旅,旅,旅,v.,travel,travel,trip,lǚ,lǚ,RTH1-L28,RSH1-L28,RTK1v5-L29,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0812,0875,1045,施,施,施,,execute,execute,alms,shī,shī,RTH1-L28,RSH1-L28,RTK1v5-L29,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0813,0876,,游,游,游,,go swimming,go swimming,,yóu,yóu,RTH1-L28,RSH1-L28,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0814,ch # 0876,1047,遊,游,遊,v.,tour,,play,yóu,yóu,RTH1-L28,,RTK1v5-L29,K = TH,SH <> TH,K key <> TH key,RSH key missing,
0815,0877,1049,勿,勿,勿,,not,not,not,wù,wù,RTH1-L28,RSH1-L28,RTK1v5-L29,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0816,0878,2431,忽,忽,忽,,suddenly,suddenly,instantaneously,hū,hū,RTH1-L28,RSH1-L28,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0817,0879,1050,物,物,物,,thing,thing,thing,wù,wù,RTH1-L28,RSH1-L28,RTK1v5-L29,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0818,0880,1051,易,易,易,,easy,easy,easy,yì,yì,RTH1-L28,RSH1-L28,RTK1v5-L29,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0819,0881,1052,賜,赐,賜,v.,grant,grant,grant,cì,cì,RTH1-L28,RSH1-L28,RTK1v5-L29,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0820,0882,2222,屍,尸,屍,,corpse,corpse,corpse,shī,shī,RTH1-L28,RSH1-L28,RTK3v2-CH02,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0821,0883,1054,尼,尼,尼,,nun,nun,nun,ní,ní,RTH1-L28,RSH1-L28,RTK1v5-L29,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0822,0884,,呢,呢,呢,,woolen cloth,woolen cloth,,ní,ne|ní,RTH1-L28,RSH1-L28,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0823,0885,1055,泥,泥,泥,,mud,mud,mud,ní,ní|nì,RTH1-L28,RSH1-L28,RTK1v5-L29,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0824,0886,1058,屋,屋,屋,,habitation,habitation,roof,wū,wū,RTH1-L28,RSH1-L28,RTK1v5-L29,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0825,0887,1059,握,握,握,v.,grip,grip,grip,wò,wò,RTH1-L28,RSH1-L28,RTK1v5-L29,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0826,0888,1063,居,居,居,,reside,reside,reside,jū,jū,RTH1-L28,RSH1-L28,RTK1v5-L29,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
